一级维度,维度图标,二级关注等级,三级指标ID,行为指标描述,加分/扣分,分值
快乐（身心健康）,😊,日常达标,h01,保护自己，不做有危险的举动,加分,+1
快乐（身心健康）,😊,日常达标,h04,能判断他人的危险行为，并主动保持安全距离,加分,+1
快乐（身心健康）,😊,日常达标,h07,能合理判断自己的情绪状态,加分,+1
快乐（身心健康）,😊,日常达标,h08,不开心时不随便发泄负面情绪,加分,+1
快乐（身心健康）,😊,日常达标,h11,不挑食，按需打餐，尽量吃完所有食物,加分,+1
快乐（身心健康）,😊,日常达标,h13,每天在校至少喝500ml水,加分,+1
快乐（身心健康）,😊,日常达标,h15,认真参与眼保健操、课间操，动作标准规范,加分,+1
快乐（身心健康）,😊,日常达标,h17,单日日常达标行为全项完成,加分,+1
快乐（身心健康）,😊,日常达标,h21,单日引领成长行为全项完成,加分,+1
快乐（身心健康）,😊,日常达标,h12,挑食、随意浪费食物,扣分,-1
快乐（身心健康）,😊,日常达标,h14,在校每日饮水不足500ml,扣分,-1
快乐（身心健康）,😊,日常达标,h16,不认真参与校内2操，动作敷衍不标准,扣分,-1
快乐（身心健康）,😊,引领成长,h18,每天做一件让自己开心的事，经常面带笑容,加分,+2
快乐（身心健康）,😊,引领成长,h19,身体不舒服或情绪不好时，能主动向老师/家长求助,加分,+2
快乐（身心健康）,😊,引领成长,h20,大课间、小课间主动到室外跑跳、运动,加分,+2
快乐（身心健康）,😊,特色发展,h23,体育运动长期坚持满1个月,加分,+5
快乐（身心健康）,😊,特色发展,h25,兴趣爱好长期坚持满1个月,加分,+5
快乐（身心健康）,😊,特色发展,h22,长期坚持一项自己喜欢的体育运动，养成运动习惯,加分,+3
快乐（身心健康）,😊,特色发展,h24,有自己特别感兴趣的事，长期坚持并从中获得快乐,加分,+3
快乐（身心健康）,😊,底线预警,h02,做出危险举动，未做好自我保护,扣分,-2
快乐（身心健康）,😊,底线预警,h05,主动靠近他人危险行为，未做好安全规避,扣分,-2
快乐（身心健康）,😊,底线预警,h09,不开心时随意发泄情绪，影响他人,扣分,-2
快乐（身心健康）,😊,底线预警,h03,情节严重的危险举动/自我保护缺失行为,扣分,-5
快乐（身心健康）,😊,底线预警,h06,情节严重的违规靠近他人危险行为,扣分,-5
快乐（身心健康）,😊,底线预警,h10,情节严重的情绪发泄、攻击他人行为,扣分,-5
进取（创新素养）,🚀,日常达标,p01,按时完成所有作业,加分,+1
进取（创新素养）,🚀,日常达标,p04,上课遵守纪律，不影响其他同学学习,加分,+1
进取（创新素养）,🚀,日常达标,p07,课堂上主动举手回答问题，清晰表达自己的想法,加分,+1
进取（创新素养）,🚀,日常达标,p09,有清晰的目标意识，能给自己制定合理的短期计划,加分,+1
进取（创新素养）,🚀,日常达标,p11,单日日常达标行为全项完成,加分,+1
进取（创新素养）,🚀,日常达标,p15,单日引领成长行为全项完成,加分,+1
进取（创新素养）,🚀,日常达标,p08,课堂上不主动发言，拒绝表达自己的想法,扣分,-1
进取（创新素养）,🚀,日常达标,p10,无目标意识，不会制定短期学习/生活计划,扣分,-1
进取（创新素养）,🚀,引领成长,p12,主动向老师提问，学会对知识点提出质疑,加分,+2
进取（创新素养）,🚀,引领成长,p13,面对有难度的任务不轻言放弃，愿意主动尝试,加分,+2
进取（创新素养）,🚀,引领成长,p14,能按轻重缓急给事情分类，科学分配自己的时间,加分,+2
进取（创新素养）,🚀,特色发展,p18,行为优化落地成果显著,加分,+5
进取（创新素养）,🚀,特色发展,p20,科技应用落地成果显著,加分,+5
进取（创新素养）,🚀,特色发展,p16,主动从多个角度思考和解决问题,加分,+3
进取（创新素养）,🚀,特色发展,p17,发现可优化的地方，尝试用行动推动改变,加分,+3
进取（创新素养）,🚀,特色发展,p19,了解人工智能等最新科技发明，寻找技术应用场景,加分,+3
进取（创新素养）,🚀,底线预警,p02,未按时完成作业，拖欠作业,扣分,-2
进取（创新素养）,🚀,底线预警,p05,上课扰乱课堂秩序，影响他人学习,扣分,-2
进取（创新素养）,🚀,底线预警,p03,情节严重的作业拖欠/拒不完成行为,扣分,-5
进取（创新素养）,🚀,底线预警,p06,情节严重的课堂扰乱行为,扣分,-5
儒雅（儒雅品格）,📚,日常达标,e01,不用言语、行为故意伤害他人,加分,+1
儒雅（儒雅品格）,📚,日常达标,e04,不随意拿取别人物品、不破坏学校及公共财物,加分,+1
