序号,维度,行为指标,评分值
1,快乐（身心健康）,保护自己，不做有危险的举动,1
2,快乐（身心健康）,做出危险举动，未做好自我保护,-2
3,快乐（身心健康）,情节严重的危险举动 / 自我保护缺失行为,-5
4,快乐（身心健康）,能判断他人的危险行为，并主动保持安全距离,1
5,快乐（身心健康）,主动靠近他人危险行为，未做好安全规避,-2
6,快乐（身心健康）,情节严重的违规靠近他人危险行为,-5
7,快乐（身心健康）,能合理判断自己的情绪状态,1
8,快乐（身心健康）,不开心时不随便发泄负面情绪,1
9,快乐（身心健康）,不开心时随意发泄情绪，影响他人,-2
10,快乐（身心健康）,情节严重的情绪发泄、攻击他人行为,-5
11,快乐（身心健康）,不挑食，按需打餐，尽量吃完所有食物,1
12,快乐（身心健康）,挑食、随意浪费食物,-1
13,快乐（身心健康）,每天在校至少喝 500ml 水,1
14,快乐（身心健康）,在校每日饮水不足 500ml,-1
15,快乐（身心健康）,认真参与眼保健操、课间操，动作标准规范,1
16,快乐（身心健康）,不认真参与校内 2 操，动作敷衍不标准,-1
17,快乐（身心健康）,单日日常达标行为全项完成,1
18,快乐（身心健康）,每天做一件让自己开心的事，经常面带笑容,2
19,快乐（身心健康）,身体不舒服或情绪不好时，能主动向老师 / 家长求助,2
20,快乐（身心健康）,大课间、小课间主动到室外跑跳、运动,2
21,快乐（身心健康）,单日引领成长行为全项完成,1
22,快乐（身心健康）,长期坚持一项自己喜欢的体育运动，养成运动习惯,3
23,快乐（身心健康）,体育运动长期坚持满 1 个月,5
24,快乐（身心健康）,有自己特别感兴趣的事，长期坚持并从中获得快乐,3
25,快乐（身心健康）,兴趣爱好长期坚持满 1 个月,5
26,进取（创新素养）,按时完成所有作业,1
27,进取（创新素养）,未按时完成作业，拖欠作业,-2
28,进取（创新素养）,情节严重的作业拖欠 / 拒不完成行为,-5
29,进取（创新素养）,上课遵守纪律，不影响其他同学学习,1
30,进取（创新素养）,上课扰乱课堂秩序，影响他人学习,-2
31,进取（创新素养）,情节严重的课堂扰乱行为,-5
32,进取（创新素养）,课堂上主动举手回答问题，清晰表达自己的想法,1
33,进取（创新素养）,课堂上不主动发言，拒绝表达自己的想法,-1
34,进取（创新素养）,有清晰的目标意识，能给自己制定合理的短期计划,1
35,进取（创新素养）,无目标意识，不会制定短期学习 / 生活计划,-1
36,进取（创新素养）,单日日常达标行为全项完成,1
37,进取（创新素养）,主动向老师提问，学会对知识点提出质疑,2
38,进取（创新素养）,面对有难度的任务不轻言放弃，不说 “我肯定不行”，愿意主动尝试,2
39,进取（创新素养）,能按轻重缓急给事情分类，科学分配自己的时间,2
40,进取（创新素养）,单日引领成长行为全项完成,1
41,进取（创新素养）,主动从多个角度思考和解决问题,3
42,进取（创新素养）,发现学校 / 社区 / 社会可优化的地方，尝试用行动推动改变,3
43,进取（创新素养）,行为优化落地成果显著,5
44,进取（创新素养）,了解人工智能等最新科技发明，在生活 / 学习中寻找技术应用场景,3
45,进取（创新素养）,科技应用落地成果显著,5
46,儒雅（儒雅品格）,不用言语、行为故意伤害他人,1
47,儒雅（儒雅品格）,用言语、行为故意伤害同学 / 他人,-2
48,儒雅（儒雅品格）,情节严重的校园欺凌 / 伤害他人行为,-5
49,儒雅（儒雅品格）,不随意拿取别人物品、不破坏学校及公共财物,1
50,儒雅（儒雅品格）,随意拿取他人物品、破坏公物 / 校园设施,-2
51,儒雅（儒雅品格）,情节严重的盗窃 / 恶意破坏公物行为,-5
52,儒雅（儒雅品格）,衣着得体整洁，个人物品摆放有序,1
53,儒雅（儒雅品格）,衣着不整洁、个人物品摆放杂乱无章,-1
54,儒雅（儒雅品格）,见到师长主动问好，日常常用 “请、谢谢、对不起” 等礼貌用语,1
55,儒雅（儒雅品格）,见到师长不问好，日常不使用礼貌用语,-1
56,儒雅（儒雅品格）,他人说话时能安静倾听，不随意打断,1
57,儒雅（儒雅品格）,随意打断他人说话，不尊重发言者,-1
58,儒雅（儒雅品格）,在学校楼道和室内场所轻步慢走、不追逐打闹，遵守公共秩序,1
59,儒雅（儒雅品格）,校内楼道、室内场所追逐打闹、不遵守公共秩序,-1
60,儒雅（儒雅品格）,单日日常达标行为全项完成,1
61,儒雅（儒雅品格）,与同学有小摩擦时能温和沟通，解决不了时积极向老师寻求帮助,2
62,儒雅（儒雅品格）,同学遇到困难或情绪低落时，能主动关心并提供帮助,2
63,儒雅（儒雅品格）,单日引领成长行为全项完成,1
64,儒雅（儒雅品格）,保持稳定的情绪状态，不会轻易被外界小事影响,3
65,儒雅（儒雅品格）,情绪稳定表现持续满 1 个月,5
66,儒雅（儒雅品格）,保持每天安静阅读的良好习惯,3
67,儒雅（儒雅品格）,每日阅读习惯持续满 1 个月,5
68,儒雅（儒雅品格）,懂得欣赏多样性，当他人意见与自己不同时，能倾听并包容不一样的想法,3
69,儒雅（儒雅品格）,包容差异、尊重他人表现持续满 1 个月,5
70,大气（责任担当）,升旗时主动行礼、大声唱国歌、全程肃立，遵守升旗礼仪,1
71,大气（责任担当）,升旗时不遵守礼仪，不行礼、不唱国歌、随意走动 / 说话,-2
72,大气（责任担当）,情节严重的升旗礼仪违规行为,-5
73,大气（责任担当）,不损坏国旗、队旗等国家 / 集体标志，规范佩戴、爱护红领巾,1
74,大气（责任担当）,损坏国旗、队旗、红领巾等标志，不规范佩戴红领巾,-2
75,大气（责任担当）,情节严重的国旗 / 队旗 / 红领巾损毁行为,-5
76,大气（责任担当）,有集体荣誉感，积极参加集体活动，认真完成值日工作,1
77,大气（责任担当）,无集体荣誉感，拒绝参与集体活动、不认真完成值日,-1
78,大气（责任担当）,热爱学校，爱护校园的一草一木，不乱扔垃圾，维护校园环境,1
79,大气（责任担当）,破坏校园环境、乱扔垃圾、损坏校园花草树木,-1
80,大气（责任担当）,单日日常达标行为全项完成,1
81,大气（责任担当）,遇事对人不斤斤计较，乐于分享自己的物品 / 知识,2
82,大气（责任担当）,主动为集体服务，为班级、学校做力所能及的事,2
83,大气（责任担当）,了解家乡的非遗、传统节日习俗或历史人物故事，并主动和同学分享,2
84,大气（责任担当）,主动关心社会时事，对祖国发展与进步感到自豪，尊重不同国家与民族的文化,2
85,大气（责任担当）,单日引领成长行为全项完成,1
86,大气（责任担当）,积极参与跨区域、跨国家的交流与学习，主动拓展视野,3
87,大气（责任担当）,跨文化交流学习成果显著,5
88,大气（责任担当）,积极传播本土先进文化，不盲目推崇他国文化,3
89,大气（责任担当）,本土文化传播成果显著,5
